Continent,Country,Region,Carrier,Email-to-SMS,Email-to-MMS,Web-to-SMS/MMS,Requires login?,Status,Notes,SMS-to-Email,Message format,Reference
Africa,Mauritius,,Emtel,number@emtelworld.net,,,,,,,,http://www.emtel-ltd.com/
Africa,South Africa,,MTN,number@sms.co.za,,,,,,,,http://www.mtn.co.za/
Africa,South Africa,,Vodacom,number@voda.co.za,,,Y,,,,,http://www.vodacom4me.co.za/
Africa,,,Cequens,,,www.cequens.com,Y,,,,,http://www.cequens.com/
Asia,China,,China Mobile,number@139.com,,,,,,,,
Asia,Hong Kong,,Accessyou,,number@messaging.accessyou.com,,,,,,,
Asia,Hong Kong,,CSL,,number@mgw.mmsc1.hkcsl.com,,,,,,,http://www.hkcsl.com/
Asia,Nepal,,Ncell(Previously Mero Mobile)[14],977number@sms.ncell.com.np,,,Y,,,,,http://www.ncell.com.np/
Asia,Nepal,,Nepal Telecom,,,http://websms.ntc.net.np/,,,,,,
Asia,Singapore,,M1,number@m1.com.sg,,,,,,,,
Asia,Singapore,,Msg2Send,,,http://www.msg2send.com/,,,,,,
Asia,Singapore,,Starhub Enterprise Messaging Solution,number@starhub-enterprisemessaging.com,,,,,Powered by Soprano,,,http://www.starhub.com/business/mobile/enterprisemessaging.html/
Asia,South Korea,,Helio,number@myhelio.com,,,,,,,,
Asia,Sri Lanka,,Mobitel,number@sms.mobitel.lk,,,,X,Mobitel no longer offers email2sms,,,https://www.mobitel.lk/
Asia,Sri Lanka,,textit.biz,,,http://www.textit.biz/,,,http://textit.biz/sendmsg/?ph=xxxx&tx=xxxxx,,,
Europe,Austria,,Api4SMS,number@members.api4sms.net,,,,,,,,http://www.api4sms.net/
Europe,Austria,,Firmensms,0043number@subdomain.firmensms.at,,,Y,,,,,http://www.firmensms.at/
Europe,Austria,,T-Mobile,43676number@sms.t-mobile.at,,,,,Reported not working (2016),,Requires PIN code in message.,http://t-mobile.at/
Europe,Bulgaria,,Globul,35989number@sms.globul.bg,,,,,,,,http://www.globul.bg/
Europe,Bulgaria,,Mobiltel,35988number@sms.mtel.net,,,,,,,,https://www.mtel.bg/
Europe,Croatia,,T-Mobile,385number@sms.t-mobile.hr,,,,,,100,address##subject#text,http://www.t-mobile.hr/eng/2/20-20-20-45-00.asp
Europe,Czech Republic,,Vodafone,alias@vodafonemail.cz,,,Y,,,,,
Europe,France,,Bouygues Telecom (company),,number@mms.bouyguestelecom.fr,,,X,Reported not working (09/2017) alternate web interface is available.,,,https://www.assistance.bouyguestelecom.fr/mobiles/sms-mms-mobile/envoi-sms-gratuitement-internet
Europe,France,,SFR,number@sfr.fr,,,,,,,,
Europe,Germany,,E-Plus,0number@smsmail.eplus.de,,,,X,Reported not working (05/2016),,,
Europe,Germany,,O2,0number@o2online.de,,,,,,,,
Europe,Germany,,T-Mobile,number@t-mobile-sms.de,,,,,,,,
Europe,Germany,,Vodafone,0number@vodafone-sms.de,,,,,,,,
Europe,Iceland,,OgVodafone,number@sms.is,,,,,,,,
Europe,Iceland,,Sminn,number@box.is,,,,,,,,
Europe,Ireland,,Meteor,number@sms.mymeteor.ie,number@mms.mymeteor.ie,,,,,,,
Europe,Italy,,TIM,0number@timnet.com,,,,,,,,
Europe,Italy,,Vodafone,3**number@sms.vodafone.it,,,,,,,,
Europe,Moldova,,Eventis,,,http://eventis.md/index.php?option=com_eventisforms&Itemid=140,,,,,,
Europe,Moldova,,Moldcell,,,http://www.moldcell.md/eng/private/websms,,,,,,
Europe,Moldova,,Orange Moldova,,,https://www.orangetext.md/,,,,,,
Europe,Moldova,,Unite,,,http://unite.md/sms/,,,,,,
Europe,Netherlands,,Orange,0number@sms.orange.nl,,,,,,,,
Europe,Netherlands,,T-Mobile,31number@gin.nl,,,,,,,,
Europe,Norway,,Sendega,number@sendega.com,,,Y,,,,"Content support: subject,body or subject + body. Settings available from website (login required)",http://www.sendega.com/
Europe,Norway,,TeletopiaSMS,number@sms.teletopiasms.no,,,Y,,,,Content settings available from website,http://www.teletopiasms.no/
Europe,Poland,,Plus,+48number@text.plusgsm.pl,,,,,,,,http://www.plusgsm.pl/bramkasms/
Europe,Poland,,Plus,+number@text.plusgsm.pl,,,,,,,,http://www.plusgsm.pl/bramkasms/
Europe,Poland,,Polkomtel,+48number@text.plusgsm.pl,,,,,,,,http://www.plus.pl/indywidualna/uslugi/AktualniKlienci/EmailPrzezSMS/
Europe,Portugal,,Vodafone,,,http://www.empresas.vodafone.pt/solucoesescritorio/Messaging/smsbymail.htm,Y,,,,,
Europe,Serbia,,Telekom Srbija,,,http://www.mtsmondo.com/sms/,,,,,,
Europe,Spain,,Altiria,info@altiria.com,,,,,,,,http://www.altiria.com/envio-sms-masivo/
Europe,Spain,,Esendex,number@esendex.net,,,,,,,,http://www.esendex.es/Envio-de-SMS/Mail-SMS
Europe,Spain,,Movistar,0number@movistar.net,,,,,,,,
Europe,Spain,,Vodafone,0number@vodafone.es,,,,,,,,
Europe,Spain,,Movistar,number@movimensaje.com.ar,,,,,,,,
Europe,Sweden,,Tele2,0number@sms.tele2.se,,,,,,,,
Europe,Switzerland,,Box Internet ServicesSMS Gateway,number@sms.boxis.net,number@mms.boxis.net,,,,SMS API,,,
Europe,Switzerland,,Orange,,,http://www.chrus.ch/mysms,,,,,,
Europe,Switzerland,,Sunrise Communications,number@gsm.sunrise.ch,,,Y,,,,,http://internet.sunrise.ch/handemail/de/handemail.html
Europe,Switzerland,,Swisscom,,,http://www.xtrazone.ch/,,,,,,
Europe,United Kingdom,,aql,number@text.aql.com,,,,,,+44 7766 40 41 42,address text,http://aql.com/site/about_external_email2sms.php
Europe,United Kingdom,,CM Telecom,number@mail-sms.com,,,,,,,,
Europe,United Kingdom,,CM Telecom,,,https://www.cmtelecom.com/products/messaging/sms,,,,,,
Europe,United Kingdom,,Connection Software (CSoft),number@itsarrived.net,,,,,,,,http://www.csoft.co.uk/sms/api/email_to_sms.htm
Europe,United Kingdom,,Esendex,number@echoemail.net,,,,,,,,http://www.esendex.co.uk/Services/Email-SMS
Europe,United Kingdom,,HSL Mobile,number@sms.haysystems.com,,,,,,,,http://www.hslsms.com/services/emailsms
Europe,United Kingdom,,Kapow SMS Gateway,number@kapow.co.uk,,,,,,Short code or MSISDN,Received SMS are sent to the user via email or HTTP,http://www.kapow.co.uk/
Europe,United Kingdom,,Mediaburst,number@sms.mediaburst.co.uk,,,,,,,,http://www.mediaburst.co.uk/api/doc/email/send-sms/
Europe,United Kingdom,,My-Cool-SMS,number@my-cool-sms.com,,,,,,,,http://www.my-cool-sms.com/
Europe,United Kingdom,,Orange,number@orange.net,,,,,,,,
Europe,United Kingdom,,Oxygen8,,,http://www.oxygen8.com/uk/sms-gateway,Y,,,,,
Europe,United Kingdom,,TextAnywhere,,,http://developer.textapp.net/home/Default.aspx,,,,,,
Europe,United Kingdom,,TextOver,,,http://www.textover.com/emailtosms.html,,,Log in to TextOver for details,,,
Europe,United Kingdom,,Txtlocal,number@txtlocal.co.uk,,,,,,,,http://www.txtlocal.co.uk/emailtosms/
Europe,United Kingdom,,Univil Corporation,number@viawebsms.com,,,,,,,,http://www.viawebsms.com/
Europe,United Kingdom,,Virgin Mobile,number@vxtras.com,,,,X,Does not appear to work,,,
Europe,United Kingdom,,www.fastsms.co.uk,,,http://www.fastsms.co.uk/,,,Web only,,PC / Online Based Text Messaging,http://www.fastsms.co.uk/
Europe,,,Freebie SMS,number@smssturen.com,,,,X,,,Message in subject line,http://sites.google.com/site/emailtosmsgateway/
